id,name
725122,Podreber/Polh.G.
715031,Podsmreka GD
715032,Podsmreka GD
715041,Podsmreka Rotar
715042,Podsmreka Rotar
715051,Podsmreka pri Gorjancu
715052,Podsmreka pri Gorjancu
704181,Podvozna pot
704182,Podvozna pot
103061,Pohorskega bataljona
103062,Pohorskega bataljona
203011,Pokopališka
203012,Pokopališka
104121,Polanškova
104122,Polanškova
402021,Poliklinika
402022,Poliklinika
502011,Poljanska
502012,Poljanska
304071,Polje
304072,Polje
304074,Polje
825032,Polje obračališče
825033,Polje obračališče
304081,Polje-kolodvor
304082,Polje-kolodvor
703191,Pot R. križa
703192,Pot R. križa
303051,Pot na Fužine
303052,Pot na Fužine
603071,Pot na Rakovo jelšo
603072,Pot na Rakovo jelšo
104141,Pot v Hrastovec
104142,Pot v Hrastovec
104131,Pot v Smrečje
104132,Pot v Smrečje
204291,Pot v mejah
204292,Pot v mejah
825011,Povodje
825012,Povodje
601011,Pošta
404041,Pošta Dobrunje
404042,Pošta Dobrunje
304011,Preglov trg
304012,Preglov trg
202021,Prekmurska
202022,Prekmurska
815151,Preska
815152,Preska
406031,Prežganje
406032,Prežganje
406041,Prežganje šola
406042,Prežganje šola
415071,Pri Dogonivar
415072,Pri Dogonivar
415091,Pri Dolencu
415092,Pri Dolencu
604051,Pri Maranzu
604052,Pri Maranzu
704081,Pri Poku
415081,Primožev ovinek
415082,Primožev ovinek
104113,Primožičeva
602111,Privoz
602112,Privoz
804021,Prušnikova
804022,Prušnikova
804231,Pržanec
804232,Pržanec
103041,Puhova
103042,Puhova
504031,RUDNIK
704072,Radna
503021,Rakovnik
503022,Rakovnik
503024,Rakovnik
815211,Rakovnik
815212,Rakovnik
403061,Rast
403062,Rast
505051,Razdrto
505052,Razdrto
714041,Razori K
714042,Razori K
714031,Razori Rogovilc
714032,Razori Rogovilc
100021,Razstavišče
100022,Razstavišče
104211,Rašica
104212,Rašica
204161,Reaktor
204162,Reaktor
505021,Reber pri Škofljici
505022,Reber pri Škofljici
803014,Remiza
825041,Repnje Benk
825042,Repnje Benk
825061,Repnje kapelica
825062,Repnje kapelica
825051,Repnje samostan
825052,Repnje samostan
104111,Rogovilc
104112,Rogovilc
203021,Rožičeva
203022,Rožičeva
703011,Rožna dolina
703012,Rožna dolina
504032,Rudnik
504033,Rudnik
304031,Rusjanov trg
304032,Rusjanov trg
103131,Ruski car
103132,Ruski car
104011,SAVLJE
816051,SORA obr.
404091,SOSTRO
804361,STANEŽIČE
804241,STANEŽIČE P+R
727021,SUHI DOL
415011,Sadinja vas
415012,Sadinja vas
102011,Samova
102012,Samova
505071,Sap
505072,Sap
204201,Saturnus
104051,Sava
104052,Sava
104054,Sava
202031,Savske stolpnice
202032,Savske stolpnice
202041,Savsko naselje
202042,Savsko naselje
415041,Selo
415042,Selo
826101,Selo Mali Dunaj
826102,Selo Mali Dunaj
826051,Selo pri Vodicah
826052,Selo pri Vodicah
304131,Silos
304132,Silos
825021,Skaručna
825022,Skaručna
803011,Slovenija avto
803012,Slovenija avto
204111,Slovenijales
204112,Slovenijales
103071,Smelt
103072,Smelt
815121,Smlednik šola
815122,Smlednik šola
737011,Smolnik Praprotnik
737012,Smolnik Praprotnik
736051,Smolnik Setnik
736052,Smolnik Setnik
736041,Smolnik Zalog
736042,Smolnik Zalog
737021,Smolnik nad hribom
737022,Smolnik nad hribom
736031,Smolnik žaga
